id,uwi,latitude,longitude,well_name
401,ASA_0893,46.56213330,56.36368330,G_893 Асар
402,ASA_0895,46.55674388,56.36488827,G_895 Асар
403,ASA_0896,,,G_896 Асар
404,ASA_0897,46.56263936,56.37829733,G_897/Асар
405,ASA_0898,46.55779281,56.38758036,898-Асар
406,ASA_0899,46.56043230,56.39234779,G_899 Асар
407,ASA_0901,46.55034170,56.39910010,G_901 Асар
408,ASA_0902,46.55249272,56.47198039,G_902/Асар
409,ASA_0903,46.55022078,56.37894365,G_903/Асар
410,ASA_0904,46.55797616,56.39533070,G_904 Асар.доб
411,ASA_0905,46.55638362,56.36248565,G_905/Асар.
412,ASA_0906,46.56224635,56.38252009,G_906 Асар
413,ASA_0907,46.54875282,56.38415565,G_907 Асар
414,ASA_0908,46.56130736,56.39018590,G_908 Асар.доб
415,ASA_0912,46.53007789,56.44720463,G_912-Асар
416,ASA_0913,46.54935637,56.39034430,G_913/Асар
417,ASA_0914,46.55187136,56.41519282,G_914-Асар
418,ASA_0915,46.53800723,56.43875533,G_915 Асар
419,ASA_1001,46.53516000,56.42737000,1001Асар
420,ASA_1003,46.54452000,56.41822000,G_1003/Ac
421,ASA_1004,46.53990000,56.42667000,1004-АСАР
422,ASA_1005,46.53944000,56.42625000,1005-Асар
423,ASA_1009,46.54525000,56.41151000,G_1009-Асар
424,ASA_1011,46.54147000,56.42458000,G_1011/Асар
425,ASA_1013,46.53091000,56.43539000,1013-Асар
426,ASA_1015,46.53834000,56.41704000,1015-Асар
427,ASA_1018,46.54340017,56.41994888,1018-АСАР
428,ASA_1020,46.54593044,56.41940876,G_1020-Асар
429,ASA_1022,46.53691848,56.41898988,1022-Асар доб.(гор)
430,ASA_1023,46.54857982,56.42418998,G_1023-Асар
431,ASH_0001,46.61043000,55.61077000,
432,ASH_0002,46.61288000,55.59659000,
433,ASH_0003,46.62212000,55.61897000,
434,ASH_0004,46.60056000,55.59805000,
435,ASH_0005,46.61964000,55.60328000,G_5-Ащиагар
436,ASH_0006,46.61306000,55.62638000,
437,ASH_0007,46.61623000,55.58432000,
438,ASH_0008,46.60108000,55.58507000,G_8 Ащиагар
439,ASH_0010,46.60861000,55.60270000,G_10 Ащиагар
441,ATA_0002,46.70611000,55.44826000,#Н/Д
442,ATA_0003,46.71044000,55.46551000,G_3-Атамбай
443,ATA_0004,46.71553000,55.47572000,4-Атамбай
444,ATA_0005,46.69697000,55.49401000,#Н/Д
445,ATA_0006,46.73016000,55.46973000,#Н/Д
446,ATA_0007,46.68763000,55.47971000,#Н/Д
447,ATA_0008,46.69074000,55.47933000,#Н/Д
448,ATA_0009,46.70767676,55.47585664,#Н/Д
449,ATA_0021,46.69814275,55.47222882,G_21/Атамбай
450,BEK_0003,46.49797000,56.28071000,#Н/Д
451,BEK_0082,46.49896000,56.20308000,G_82/Бектурлы
452,BEK_0082,46.49896000,56.20308000,G_82 Бектурлы
453,BEK_0088,46.49307000,56.22210000,#Н/Д
454,BEK_0089,46.50084178,56.20639858,G_89 Бектурлы
455,BEK_0090,46.48344000,56.24824000,#Н/Д
456,BEK_0093,46.50306000,56.20834000,#Н/Д
457,BEK_0093,46.50306000,56.20834000,#Н/Д
458,BEK_0094,46.49518000,56.20180000,#Н/Д
459,BEK_0099,46.51237000,56.17360000,#Н/Д
460,BEK_0106,46.50088515,56.20214368,G_106/Бектурлы
461,BEK_0107,46.50119000,56.19826000,G_107-Бектурлы
462,BEK_0108,46.49657275,56.20737452,G_108-Бектурлы
463,BEK_0109,46.50084178,56.20639858,G_109-Бектурлы
464,BEK_0110,46.49863147,56.20930724,G_110 Бектурлы
465,BEK_0111,46.50076452,56.19475966,G_111/Бектурлы
466,BEK_0112,46.49856846,56.19990928,G_112/Бектурлы
467,BEK_0113,46.49855857,56.20656343,G_113-Бектурлы
468,BEK_0114,46.50250561,56.19501767,G_114-Бектурлы
469,BUR_0001,46.62085000,56.45917000,
470,BUR_0002,46.61406000,56.45752000,#Н/Д
471,BUR_0003,46.62412000,56.44164000,#Н/Д
472,BUR_0004,46.61617000,56.48354000,#Н/Д
473,BUR_0006,46.62913000,56.43704000,G_6-Бурмаша
474,BUR_0007,46.61631000,56.44721000,#Н/Д
475,BUR_0008,46.60014000,56.51828000,#Н/Д
476,BUR_0009,46.59766000,56.53889000,#Н/Д
477,BUR_0011,46.59066000,56.54463000,#Н/Д
478,BUR_0012,46.62287320,56.44798336,G_12 Бурмаша
479,BUR_0100,46.63270000,56.43846000,
480,BUR_0103,46.62995000,56.43383000,103//Бурмаша
481,BUR_0105,46.62692000,56.44281000,G_105 Бурмаша
482,BUR_0107,46.62859000,56.42934000,
483,BUR_0108,46.62420000,56.43820000,G_108 Бурмаша
484,BUR_0110,46.62674000,56.43397000,G_110 Бектурлы
485,BUR_0112,46.62478000,56.42932000,G_112/Бектурлы
486,BUR_0113,46.62315000,56.43376000,
487,BUR_0114,46.61928000,56.44356000,G_114/Бурмаша
488,BUR_0115,46.62106000,56.44762000,
489,BUR_0120,46.62175000,56.44076000,G_120-Бурмаша доб.
490,BUR_0121,46.62619000,56.43708000,G_121/Бурмаша
491,BUR_0122,46.62166000,56.43719000,G_122-Бурмаша доб.
492,BUR_0123,46.61977000,56.43948000,
493,BUR_0124,46.62141000,56.44475000,
494,BUR_0125,46.62315506,56.44417910,125-Бурмаша
495,BUR_0127,46.61959727,56.44616064,
